config,num_workers,n,p50,p95,p99,median_ci95_lo,median_ci95_hi,cliffs_delta_vs_other_config,p_value_vs_other_config,significant_at_0.05
noagg,2,30,3329.5,9121.0,10415.0,2825.0,4607.0,-0.0289,0.8481,False
useragg,2,30,3542.0,9207.2,12035.8,2926.0,4482.0,0.0289,0.8481,False
noagg,4,30,11531.5,25568.9,61133.7,8965.5,14629.5,0.1244,0.4213,False
useragg,4,30,11013.0,17556.0,21155.8,9312.0,12434.0,-0.1244,0.4213,False
noagg,8,30,24132.5,78327.4,190946.4,21245.0,31563.5,0.0556,0.7101,False
useragg,8,30,22245.0,91001.3,125182.4,20842.0,25933.0,-0.0556,0.7101,False
noagg,16,30,49258.5,70686.6,76124.8,44537.0,51641.0,0.1333,0.3813,False
useragg,16,30,47125.5,75759.5,96419.4,45433.5,48437.5,-0.1333,0.3813,False
